ORIGIN,DEST,DEP_TIME,DEP_DEL15,ARR_TIME,ARR_DEL15,DISTANCE
GNV,ATL,601,0,722,0,300
MSP,CVG,1359,0,1633,0,596
DTW,CVG,1215,0,1329,0,229
TLH,ATL,1521,0,1625,0,223
ATL,FSM,1847,0,1940,0,579
DAY,MSP,853,0,953,0,574
JAN,ATL,1553,0,1832,0,341
LGA,CVG,1551,0,1824,0,585
JAX,LGA,1037,0,1239,0,833
ATL,BMI,1245,0,1318,0,533
BMI,ATL,1410,0,1700,0,533
CAK,ATL,557,0,737,0,528
DTW,DAY,1552,0,1738,1,166
MSP,DAY,2029,0,2259,0,574
PHL,DTW,1312,0,1454,0,453
JFK,RIC,1450,0,1637,0,288
DTW,EWR,1353,1,1521,1,488
AGS,ATL,1148,0,1236,0,143
ATL,AGS,1020,0,1111,0,143
DTW,CVG,817,0,932,0,229
LIT,ATL,1523,0,1748,0,453
IND,MSP,1111,0,1157,0,503
ATL,OAJ,2216,0,16,1,399
ATL,GNV,1554,0,1713,0,300
GNV,ATL,1740,0,1903,0,300
ATL,EYW,1101,0,1300,0,646
EYW,ATL,1332,0,1532,0,646
MSP,CWA,1349,0,1442,0,175
CAE,ATL,807,0,914,0,192
CWA,DTW,834,0,1111,0,363
